PseudoB,PseudoO,Functional,Software,Method,CID,MID,SID
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-1,1,4
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-2,1,1
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-3,1,1
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-4,1,4
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-5,1,4
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-6,1,3
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-7,1,3
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-8,1,4
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-9,1,2
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-10,1,3
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-11,1,2
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-12,1,1
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-13,1,1
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-14,1,3
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-15,1,4
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-16,1,4
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-17,1,2
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-18,1,2
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-19,1,2
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-20,1,3
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-21,1,2
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-22,1,1
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-23,1,3
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-24,1,3
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-25,1,1
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-26,1,2
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-27,1,4
PAW-Ti,PAW-O,PS,VASP,E,acs.jpcc.5b05338-28,1,1
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-29,1,4
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-30,1,2
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-31,1,1
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-32,1,2
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-33,1,3
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-34,1,3
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-35,1,4
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-36,1,3
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-37,1,4
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-38,1,1
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-39,1,2
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-40,1,2
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-41,1,3
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-42,1,1
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-43,1,4
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-44,1,1
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-45,1,1
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-46,1,2
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-47,1,2
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-48,1,4
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-49,1,3
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-50,1,4
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-51,1,1
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-52,1,3
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-53,1,3
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-54,1,4
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-55,1,1
PAW-Ti,PAW-O,PW91,VASP,E,acs.jpcc.5b05338-56,1,2
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-57,1,1
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-58,1,3
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-59,1,1
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-60,1,2
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-61,1,2
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-62,1,3
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-63,1,3
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-64,1,1
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-65,1,1
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-66,1,2
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-67,1,2
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-68,1,1
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-69,1,1
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-70,1,3
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-71,1,2
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-72,1,2
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-73,1,2
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-74,1,3
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-75,1,3
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-76,1,3
PAW-Ti,PAW-O,AM05,VASP,E,acs.jpcc.5b05338-77,1,1
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-78,1,4
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-79,1,3
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-80,1,3
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-81,1,1
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-82,1,4
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-83,1,2
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-84,1,4
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-85,1,4
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-86,1,1
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-87,1,4
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-88,1,3
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-89,1,1
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-90,1,1
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-91,1,2
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-92,1,2
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-93,1,2
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-94,1,4
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-95,1,2
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-96,1,3
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-97,1,2
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-98,1,4
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-99,1,3
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-100,1,1
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-101,1,2
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-102,1,3
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-103,1,1
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-104,1,1
PAW-Ti,PAW-O,LDA,VASP,E,acs.jpcc.5b05338-105,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-106,1,4
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-107,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-108,1,4
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-109,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-110,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-111,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-112,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-113,1,4
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-114,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-115,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-116,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-117,1,4
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-118,1,4
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-119,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-120,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-121,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-122,1,4
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-123,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-124,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-125,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-126,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-127,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-128,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-129,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-130,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-131,1,4
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-132,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-133,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-134,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-135,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-136,1,4
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-137,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-138,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-139,1,4
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-140,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-141,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-142,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-143,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-144,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-145,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-146,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-147,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-148,1,1
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-149,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-150,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-151,1,1
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-152,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-153,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-154,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-155,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-156,1,1
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-157,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-158,1,1
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-159,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-160,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-161,1,1
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-162,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-163,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-164,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-165,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-166,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-167,1,1
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-168,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-169,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-170,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-171,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-172,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-173,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-174,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-175,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-176,1,1
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-177,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-178,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-179,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-180,1,1
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-181,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-182,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-183,1,1
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-184,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-185,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-186,1,4
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-187,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-188,1,4
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-189,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-190,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-191,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-192,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-193,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-194,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-195,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-196,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-197,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-198,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-199,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-200,1,4
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-201,1,4
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-202,1,4
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-203,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-204,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-205,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-206,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-207,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-208,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-209,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-210,1,4
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-211,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-212,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-213,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-214,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-215,1,4
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-216,1,4
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-217,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-218,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-219,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-220,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-221,1,4
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-222,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-223,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-224,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,acs.jpcc.5b05338-225,1,4
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-226,1,2
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-227,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-228,1,2
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-229,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-230,1,1
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-231,1,4
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-232,1,1
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-233,1,2
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-234,1,2
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-235,1,1
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-236,1,1
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-237,1,4
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-238,1,1
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-239,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-240,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-241,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-242,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-243,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-244,1,2
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-245,1,4
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-246,1,2
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-247,1,4
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-248,1,2
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-249,1,4
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-250,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-251,1,2
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-252,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-253,1,4
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-254,1,4
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-255,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-256,1,4
PAW-Ti-sv,PAW-O,PBE,VASP,E,acs.jpcc.5b05338-257,1,1
